2026-05-12 00:23:12 | INFO     | __main__ | [imran_khan] Searching for first valid face as anchor...
2026-05-12 00:31:00 | INFO     | __main__ | [imran_khan] Searching for first valid face as anchor...
2026-05-12 00:31:04 | INFO     | __main__ | [imran_khan] Anchor found: 000001.jpg
2026-05-12 00:31:13 | INFO     | __main__ | [imran_khan] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:31:13 | INFO     | __main__ | [nawaz_sharif] Searching for first valid face as anchor...
2026-05-12 00:31:13 | INFO     | __main__ | [nawaz_sharif] Anchor found: 000001.jpg
2026-05-12 00:31:23 | INFO     | __main__ | [nawaz_sharif] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:31:23 | INFO     | __main__ | [shahbaz_sharif] Searching for first valid face as anchor...
2026-05-12 00:31:23 | INFO     | __main__ | [shahbaz_sharif] Anchor found: 000001.jpg
2026-05-12 00:31:31 | INFO     | __main__ | [shahbaz_sharif] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:31:31 | INFO     | __main__ | [maryam_nawaz] Searching for first valid face as anchor...
2026-05-12 00:31:32 | INFO     | __main__ | [maryam_nawaz] Anchor found: 000001.jpg
2026-05-12 00:31:39 | INFO     | __main__ | [maryam_nawaz] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:31:39 | INFO     | __main__ | [bilawal_bhutto] Searching for first valid face as anchor...
2026-05-12 00:31:40 | INFO     | __main__ | [bilawal_bhutto] Anchor found: 000004.jpg
2026-05-12 00:31:47 | INFO     | __main__ | [bilawal_bhutto] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:31:47 | INFO     | __main__ | [asif_ali_zardari] Searching for first valid face as anchor...
2026-05-12 00:31:47 | INFO     | __main__ | [asif_ali_zardari] Anchor found: 000001.jpg
2026-05-12 00:31:54 | INFO     | __main__ | [asif_ali_zardari] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:31:54 | INFO     | __main__ | [fazlur_rehman] Searching for first valid face as anchor...
2026-05-12 00:31:54 | INFO     | __main__ | [fazlur_rehman] Anchor found: 000001.jpg
2026-05-12 00:32:01 | INFO     | __main__ | [fazlur_rehman] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:32:01 | INFO     | __main__ | [sheikh_rasheed] Searching for first valid face as anchor...
2026-05-12 00:32:01 | INFO     | __main__ | [sheikh_rasheed] Anchor found: 000001.jpg
2026-05-12 00:32:08 | INFO     | __main__ | [sheikh_rasheed] Generated 1 references anchored by the first downloaded face.
2026-05-12 00:32:08 | INFO     | __main__ | [mohsin_naqvi] Searching for first valid face as anchor...
2026-05-12 00:32:08 | INFO     | __main__ | [mohsin_naqvi] Anchor found: 000001.jpg
2026-05-12 00:32:15 | INFO     | __main__ | [mohsin_naqvi] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:32:15 | INFO     | __main__ | [hina_rabbani_khar] Searching for first valid face as anchor...
2026-05-12 00:32:16 | INFO     | __main__ | [hina_rabbani_khar] Anchor found: 000001.jpg
2026-05-12 00:32:23 | INFO     | __main__ | [hina_rabbani_khar] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:32:23 | INFO     | __main__ | [murad_ali_shah] Searching for first valid face as anchor...
2026-05-12 00:32:23 | INFO     | __main__ | [murad_ali_shah] Anchor found: 000002.jpg
2026-05-12 00:32:32 | INFO     | __main__ | [murad_ali_shah] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:32:32 | INFO     | __main__ | [ali_amin_gandapur] Searching for first valid face as anchor...
2026-05-12 00:32:33 | INFO     | __main__ | [ali_amin_gandapur] Anchor found: 000001.jpg
2026-05-12 00:33:10 | INFO     | __main__ | [ali_amin_gandapur] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:33:10 | INFO     | __main__ | [khawaja_asif] Searching for first valid face as anchor...
2026-05-12 00:33:12 | INFO     | __main__ | [khawaja_asif] Anchor found: 000002.jpg
2026-05-12 00:33:43 | INFO     | __main__ | [khawaja_asif] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:33:43 | INFO     | __main__ | [attaullah_tarar] Searching for first valid face as anchor...
2026-05-12 00:33:44 | INFO     | __main__ | [attaullah_tarar] Anchor found: 000002.jpg
2026-05-12 00:34:01 | INFO     | __main__ | [attaullah_tarar] Generated 5 references anchored by the first downloaded face.
2026-05-12 00:34:01 | INFO     | __main__ | [chaudhry_pervaiz_elahi] Searching for first valid face as anchor...
2026-05-12 00:34:02 | INFO     | __main__ | [chaudhry_pervaiz_elahi] Anchor found: 000001.jpg
2026-05-12 00:34:25 | INFO     | __main__ | [chaudhry_pervaiz_elahi] Generated 1 references anchored by the first downloaded face.
2026-05-12 00:34:25 | INFO     | __main__ | [ahmed_sharif_chaudhry] Searching for first valid face as anchor...
2026-05-12 00:34:26 | INFO     | __main__ | [ahmed_sharif_chaudhry] Anchor found: 000001.jpg
2026-05-12 00:34:51 | INFO     | __main__ | [ahmed_sharif_chaudhry] Generated 5 references anchored by the first downloaded face.
